la_code,borough,gld,fsm,sen,idaci,ofsted,total_places,under5,childcare_per_100,ethnic_diversity
E09000007,Camden,68.3,46.67,17.68199233716,0.1822406015037594,1.8511868533171028,3286,9934,33.078316891483794,0.9531595417310076
E09000001,City of London,84.2,21.93,11.48878314071,0.054,1.8662790697674416,344,215,160.0,0.937559598244724
E09000012,Hackney,69.5,44.66,19.18361817894,0.2553819444444444,1.8624521770814355,5489,16247,33.78469871360867,0.9571002389272312
E09000013,Hammersmith and Fulham,66.9,34.5,17.61078711786,0.1819380530973451,1.826859776168532,3038,9237,32.88946627692974,0.9483230055924045
E09000014,Haringey,73.2,31.09,17.62957679505,0.2013241379310344,1.99364935359492,4409,14962,29.46798556342735,0.95628297595152
E09000019,Islington,66.6,49.69,22.21998712583,0.2681951219512195,1.7917542016806722,3808,10798,35.26578996110391,0.9475564933568644
E09000020,Kensington and Chelsea,68.1,36.36,16.48423194302,0.1256407766990291,1.6657142857142857,2100,6535,32.134659525631214,0.9499000964404816
E09000022,Lambeth,67.2,42.63,19.63990493903,0.2267752808988764,1.972921697136944,5798,14628,39.63631391851244,0.9519963463831778
E09000023,Lewisham,69.7,31.88,19.7542790617,0.2255266272189349,1.9535622447436087,6611,17959,36.811626482543566,0.9530755823769615
E09000025,Newham,70.5,38.58,13.27476669604,0.1998475609756097,1.981003799240152,5001,24861,20.11584409315796,0.9728456909334164
E09000028,Southwark,69.9,40.93,18.8153167864,0.2331686746987952,2.030166503428012,5105,15714,32.48695430826015,0.95489121848868
E09000030,Tower Hamlets,65.2,46.45,18.33323064916,0.2551597222222222,1.9616418275103835,4093,18519,22.101625357740694,0.9498208989918164
E09000032,Wandsworth,71.9,32.1,19.733438048590003,0.1497430167597765,1.796400118028917,6778,18228,37.18455123985078,0.9328419446612684
E09000033,Westminster,65.7,42.68,17.81250998817,0.1620546875,1.7747629944426284,3059,9184,33.30792682926829,0.9601978869828116
E09000002,Barking and Dagenham,65.2,31.2,15.7348627468,0.2339909090909091,2.0139839333531686,3361,17262,19.470513266133704,0.9600279186502572
E09000003,Barnet,70.4,24.46,14.82493909692,0.121260663507109,1.8908871292443967,7451,24183,30.810900219162225,0.9524535582948972
E09000004,Bexley,71.3,22.76,14.86294736367,0.1437260273972603,1.951282561145357,5029,14953,33.63204708085334,0.8919578129648121
E09000005,Brent,66.3,24.31,15.00670029953,0.1743468208092485,2.030341075538816,4779,20847,22.924161749892072,0.9717939980228189
E09000006,Bromley,72.3,18.29,17.20987527587,0.1194720812182741,1.8214636542239688,8144,18778,43.36990094791778,0.8863084209364498
E09000008,Croydon,69.1,34.66,17.835786917580002,0.1691272727272727,2.0769759450171823,7275,25263,28.797054981593632,0.9547594115459728
E09000009,Ealing,68.4,29.54,15.68067114542,0.1603724489795918,1.9167411113096304,5597,21758,25.7238716793823,0.9677219234116136
E09000010,Enfield,65.2,33.5,16.39795653302,0.2071256830601093,1.9084197924980049,5012,20239,24.764069371016355,0.9587134571879306
E09000011,Greenwich,70.1,33.09,19.81549815497,0.2007483443708609,2.015118427683521,5953,18542,32.10549023837774,0.945256735443657
E09000015,Harrow,68.2,19.55,13.86468181502,0.1175474452554744,1.9715447154471544,4920,16216,30.340404538727185,0.9597247747049392
E09000016,Havering,64.8,21.71,12.52649970878,0.14444,1.8923357664233575,4932,16621,29.67330485530353,0.8863162231943262
E09000017,Hillingdon,68.7,25.28,15.53925753008,0.1454968944099379,1.9325106054762824,5186,20814,24.91592197559335,0.9512233887341632
E09000018,Hounslow,66.7,26.28,18.08559024188,0.1636971830985915,1.8927738927738929,4719,18172,25.968523002421307,0.959667623611253
E09000021,Kingston upon Thames,72.1,16.41,15.57184564609,0.0987653061224489,1.877922077922078,3465,9035,38.35085777531821,0.9206895418524174
E09000024,Merton,69.1,28.4,19.2016370411,0.1241129032258064,2.0034067681126504,4403,13035,33.7782892213272,0.9465608624448676
E09000026,Redbridge,70.5,19.03,13.35849423351,0.1284223602484472,1.8780158596254428,5927,21549,27.5047566012344,0.9672923981213376
E09000027,Richmond upon Thames,75.6,15.06,14.21851289832,0.0691478260869565,1.87761135199054,5074,10345,49.04784920251329,0.8941214998179122
E09000029,Sutton,68.3,19.0,13.77906029647,0.1168677685950413,1.9617765814266488,3715,11913,31.184420381096285,0.9129991054993029
E09000031,Waltham Forest,74.4,28.91,16.62385812877,0.1866388888888889,1.9785995870095736,5327,18913,28.1658118754296,0.957559571319287
